"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash",,unrecognized,"['high fever', 'severe headache', 'pain behind the eyes', 'joint and muscle pain', 'rash']"
"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash",,unrecognized,"['high fever', 'severe headache', 'pain behind the eyes', 'joint and muscle pain', 'rash']"
"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash",,unrecognized,"['high fever', 'severe headache', 'pain behind the eyes', 'joint and muscle pain', 'rash']"
"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash",,unrecognized,"['high fever', 'severe headache', 'pain behind the eyes', 'joint and muscle pain', 'rash']"
"High fever, severe headache, pain behind the eyes, joint and muscle pain, rash",,unrecognized,"['high fever', 'severe headache', 'pain behind the eyes', 'joint and muscle pain', 'rash']"
"headache,fatique,chills,sweat",,unrecognized,"['headache', 'fatique', 'chills', 'sweat']"
"headache,fatique,chills,sweat, headache,fatique,chills,sweat","headache ,fatigue,chills,sweating",unrecognized,"['headache', 'fatique', 'chills', 'sweat', 'headache', 'fatique', 'chills', 'sweat', 'headache', 'fatigue', 'chills', 'sweating']"
"headache,fatigue,chills,sweating",,unrecognized,"['headache', 'fatigue', 'chills', 'sweating']"
"headache,fatigue,chills,sweating",,unrecognized,"['headache', 'fatigue', 'chills', 'sweating']"
"Received symptoms: headache,fatigue,chills,sweating",,unrecognized,"['received symptoms: headache', 'fatigue', 'chills', 'sweating']"
"Received symptoms: headache,fatigue,chills",,unrecognized,"['received symptoms: headache', 'fatigue', 'chills']"
"headache, fatigue, chills",,unrecognized,"['fatigue', 'chills', 'headache']"
